"id","bag_id","naam","lat","lon","geonames","tgn"
"442","1393","Kockengen","52.1524237307","4.94995689227","http://www.geonames.org/2752581","http://vocab.getty.edu/tgn/7029525"
"443","1394","Nieuwer Ter Aa","52.2009858884","4.97510240715","http://www.geonames.org/2750254","http://vocab.getty.edu/tgn/7267325"
"444","1395","Zutphen","52.1353957744","6.20794151493","http://www.geonames.org/2743608","http://vocab.getty.edu/tgn/7006897"
"445","1396","Warnsveld","52.1378006311","6.27397800818","http://www.geonames.org/2745003","http://vocab.getty.edu/tgn/1048221"
"446","2498","Oldeouwer","52.9078881946","5.79260381844","http://www.geonames.org/2749640","http://vocab.getty.edu/tgn/7267125"
"447","1397","Oude Pekela","53.096618342","7.00117660394","http://www.geonames.org/2749034","http://vocab.getty.edu/tgn/1048033"
"448","1398","Nieuwe Pekela","53.0546494149","6.95567700665","http://www.geonames.org/2750272","http://vocab.getty.edu/tgn/7006981"
"449","1399","Rhenen","51.9772303759","5.57517506164","http://www.geonames.org/2748185","http://vocab.getty.edu/tgn/7006915"
"450","1400","Elst Ut","51.9924976707","5.51189774399","http://www.geonames.org/2756160","http://vocab.getty.edu/tgn/7263404"
"451","1401","De Heen","51.6110189984","4.25290033739","http://www.geonames.org/2757574","http://vocab.getty.edu/tgn/7263190"
"452","1402","Dinteloord","51.6266656721","4.34699902333","http://www.geonames.org/2756800","http://vocab.getty.edu/tgn/1047724"
"453","1403","Kruisland","51.5720814622","4.40223173139","http://www.geonames.org/2752192","http://vocab.getty.edu/tgn/1047897"
"454","1404","Nieuw-Vossemeer","51.5867620476","4.22642971721","http://www.geonames.org/2750117","http://vocab.getty.edu/tgn/7267961"
"455","1405","Steenbergen","51.5765054869","4.32526189074","http://www.geonames.org/2746804","http://vocab.getty.edu/tgn/1048134"
"456","1406","Maastricht","50.8529681691","5.69953030305","http://www.geonames.org/2751283","http://vocab.getty.edu/tgn/7006862"
"457","1407","Agelo","52.3876580463","6.89127794453",,
